
SOCCER B-ORG
Sion O

( O
Switzerland O
) O
0 O

Attendance O
: O
5,000 O

Sion O
win O
4-2 O
on O
agrregate O
. O

In O
Vinnytsya O
: O

Nyva O
Vinnytsya O
( O
Ukraine O
) O
1 O
Tallinna O
Sadam O
( O
Estonia O
) O
0 O
( O
0-0 O
) O

Attendance O
: O
3,000 O

Aggregate O
score O
2-2 O
. O

Nyva O
qualified O
on O
away O
goals O
rule O
. O

In O
Bergen O
: O
Brann O
( O
Norway O
) O
2 O
Shelbourne O
( O
Ireland O
) O
1 O
( O
1-1 O
) O

Scorers O
: O

Brann O
- O
Mons O
Ivar O
Mjelde O
( O
10th O
) O
, O
Jan O
Ove O
Pedersen O
( O
72nd O
) O

Shelbourne O
- O
Mark O
Rutherford O
( O
5th O
) O

Attendance O
: O
2,189 O

Brann O
win O
5-2 O
on O
aggregate O

In O
Sofia O
: O
Levski O
Sofia O
( O
Bulgaria O
) O
1 O
Olimpija O
( O
Slovenia O
) O
0 O

( O
0-0 O
) O

Scorer O
: O
Ilian O
Simeonov O
( O
58th O
) O

Attendance O
: O
25,000 O

Aggregate O
1-1 O
. O

Olimpija O
won O
4-3 O
on O
penalties O
. O

In O
Vaduz O
: O
Vaduz O
( O
Liechtenstein O
) O
1 O
RAF O
Riga O
( O
Latvia O
) O
1 O
( O
0-0 O
) O

Scorers O
: O

Vaduz O
- O
Daniele O
Polverino O
( O
90th O
) O

RAF O
Riga O
- O
Agrins O
Zarins O
( O
47th O
) O

Aggregate O
2-2 O
. O

Vaduz O
won O
4-2 O
on O
penalties O
. O

In O
Luxembourg O
: O
US O
Luxembourg O
( O
Luxembourg O
) O
0 O
Varteks O
Varazdin O

( O
Croatia O
) O
3 O
( O
0-0 O
) O

Scorers O
: O
Drazen O
Beser O
( O
63rd O
) O
, O
Miljenko O
Mumler O
( O
penalty O
, O

78th O
) O
, O
Jamir O
Cvetko O
( O
87th O
) O

Attendance O
: O
800 O

Varteks O
Varazdin O
win O
5-1 B-MISC
on I-MISC
aggregate I-MISC
. O

In O
Torshavn O
: O
Havnar O
Boltfelag O
( O
Faroe O
Islands O
) O
0 O
Dynamo O

Batumi O
( O
Georgia O
) O
3 O
( O
0-2 O
) O

Dynamo O
Batumi O
win O
9-0 O
on O
aggregate O
. O

In O
Prague O
: O
Sparta O
Prague O
( O
Czech O
Republic O
) O
8 O
Glentoran O

( O
Northern O
Ireland O
) O
0 O
( O
4-0 O
) O

Scorers O
: O
Petr O
Gunda O
( O
1st O
and O
26th O
) O
, O
Lumir O
Mistr O
( O
19th O
) O
, O

Horst O
Siegl O
( O
24th O
, O
48th O
, O
80th O
) O
, O
Zdenek O
Svoboda O
( O
76th O
) O
, O
Petr O

Gabriel O
( O
86th O
) O

Sparta O
win O
10-1 O
on O
aggregate O
. O

In O
Edinburgh O
: O
Hearts O
( O
Scotland O
) O
1 O
Red B-MISC
Star I-MISC
Belgrade I-MISC

( O
Yugoslavia O
) O
1 O
( O
1-0 O
) O

Scorers O
: O

Hearts O
- O
Dave O
McPherson O
( O
44th O
) O

Red O
Star O
- O
Vinko O
Marinovic O
( O
59th O
) O

Attendance O
: O
15,062 O

Aggregate O
1-1 O
. O

Red O
Star O
win O
on O
away O
goals O
rule O
. O

In O
Rishon-Lezion B-LOC
: O
Hapoel O
Ironi O
( O
Israel O
) O
3 O
Constructorul O

Chisinau O
( O
Moldova O
) O
2 O
( O
2-1 O
) O

Aggregate O
3-3 O
. O

Constructorul O
win O
on O
away O
goals O
rule O
. O

In O
Anjalonkoski O
: O
MyPa-47 O
( O
Finland O
) O
1 O
Karabach O
Agdam O

( O
Azerbaijan O
) O
1 O
( O
0-0 O
) O

Mypa-47 O
win O
2-1 O
on O
aggregate O
. O

In O
Skopje O
: O
Sloga O
Jugomagnat O
( O
Macedonia O
) O
0 O
Kispest O
Honved O

( O
Hungary O
1 O
( O
0-0 O
) O

Kispest O
Honved O
win O
2-0 O
on O
aggregate O
. O

Add O
Hapoel O
Ironi O
v O
Constructorul O
Chisinau O

Scorers O
: O

Rishon O
- O
Moshe O
Sabag O
( O
10th O
minute O
) O
, O
Nissan O
Kapeta O
( O
26th O
) O
, O

Tomas B-PER
Cibola I-PER
( O
58th O
) O
. O

Constructorol O
- O
Sergei O
Rogachev O
( O
42nd O
) O
, O
Gennadi O
Skidan O

( O
87th O
) O
. O

Attendance O
: O
1,500 O
. O

